Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Piano Concerto No.3,,,,"Prokofiev, Sergey",Op.26,ISP 26,C major,"3 movements:
Andante. Allegro
Tema con variazioni
Allegro, ma non troppo","1917-21
First Perf
ormance
.
1921/12/16 in Chicago
Sergey Prokofiev (piano); Chicago Symphony Orchestra; Frederick Stock (conductor)","1923 in Paris:
A. Gutheil",,"Konstantin Balmont
(1867–1942)",,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Concerto_No.3,_Op.26_(Prokofiev,_Sergey)"
Piano Concerto No.4,,,,"Prokofiev, Sergey",Op.53,ISP 27,B-flat major,"4 movements
Vivace
Andante
Moderato
Vivace","1931
First Perf
ormance
.
1956-09-05 — West Berlin: Siegfried Rapp (piano), Martin Rich (conductor)",1961?,,Paul Wittgenstein,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Concerto_No.4,_Op.53_(Prokofiev,_Sergey)"
Piano Concerto No.5,,,,"Prokofiev, Sergey",Op.55,ISP 28,G major,"5 movements:
Allegro con brio
Moderato ben accentuato
Toccata. Allegro con fuoco
Larghetto
Vivo","1932
First Perf
ormance
.
1932-10-30&31 in Berlin
Sergey Prokofiev (piano), Berlin Philharmonic, Wilhelm Furtwängler (conductor)
Furtwangler.fr","1932 - Berlin:
Editions Russes de Musique
. Full score, arr. 2 pianos",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Concerto_No.5,_Op.55_(Prokofiev,_Sergey)"
Piano Sonata No.1,,,,"Prokofiev, Sergey",Op.1,ISP 29,F minor,"1 movement:
Allegro. Meno mosso. Allegro","1907, revised 1909
First Perf
ormance
.
1910-03-06 in Moscow: Sergey Prokofiev (piano)","1911 - Moscow:
Jurgenson
, Plate 35098, 16 pages.",,Vasily Mitrofanovich Morolev,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.1,_Op.1_(Prokofiev,_Sergey)"
Piano Sonata No.2,,,,"Prokofiev, Sergey",Op.14,ISP 30,D minor,"4 movements:
Allegro ma non troppo
Scherzo. Allegro marcato
Andante
Vivace","1912
First Perf
ormance
.
1914-02-05 in Moscow: Sergey Prokofiev (piano)","1913 - Moscow:
P. Jurgenson
, Plate 36673, 31 pages.",,Maksimilian Anatol'yevich Shmidtgof (1892-1913),,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.2,_Op.14_(Prokofiev,_Sergey)"
Piano Sonata No.3,,,,"Prokofiev, Sergey",Op.28,ISP 31,A minor,Allegro tempestoso,"1907, revised 1917
First Perf
ormance
.
1918-04-15 in Petrograd. Sergey Prokofiev (piano)","1918 - Moscow:
A. Gutheil
, Plate А.Г. 10082, 13 pages.",,"Boris Verin (
Boris Bashkirov
)",,Early 20th century,Early_20th_century,"https://imslp.org/wiki/Piano_Sonata_No.3,_Op.28_(Prokofiev,_Sergey)"
Piano Sonata No.4,,,,"Prokofiev, Sergey",Op.29,ISP 32,C minor,"3 movements:
Allegro molto sostenuto
Andante assai
Allegro con brio, ma non leggiere","1908–17
First Perf
ormance
.
1918-04-17 in Petrograd. Sergey Prokofiev (piano)","1918 - Moscow:
Editions Russes de Musique
(Gutheil imprint), Plate A. 10313 G., 25 pages.",,Maksimilian Anatol'yevich Shmidtgof (1892-1913),,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.4,_Op.29_(Prokofiev,_Sergey)"
Piano Sonata No.5,,,,"Prokofiev, Sergey",Op.38 ; Op.135,ISP 33,C major,"3 movements:
Allegro tranquillo
Andantino
Un poco allegretto","1923
A
; 1952–53
B
First Perf
ormance
.
1924-03-09 in Paris, Sergey Prokofiev (piano)
A
1954-02-02 in Alma Ata, Aleksandr Vedernikov (piano)
B","1925 -
Moscow: A. Gutheil
A
1955 - Moscow:
Muzgiz
. Plate M. 23818 Г.
B",,,16 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.5,_Op.38/135_(Prokofiev,_Sergey)"
Piano Sonata No.6,,,,"Prokofiev, Sergey",Op.82,ISP 34,A major,"4 movements:
Allegro moderato
Allegretto
Tempo di valzer, lentissimo
Vivace","1939–40
First Perf
ormance
.
1940-04-08 in Moscow, Union of Composers (radio broadcast)
Sergey Prokofiev (piano)","1941 - Moscow:
Muzgiz
, Plate M. 17145 Г., 50 pages",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.6,_Op.82_(Prokofiev,_Sergey)"
Piano Sonata No.7,,,,"Prokofiev, Sergey",Op.83,ISP 35,B-flat major,"3 movements:
Allegro inquieto
Andante caloroso
Precipitato","1939–42
First Perf
ormance
.
1943-01-18 in Moscow: Sviatoslav Richter (piano)","1943 -
Moscow: Muzgiz",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.7,_Op.83_(Prokofiev,_Sergey)"
Piano Sonata No.8,,,,"Prokofiev, Sergey",Op.84,ISP 36,B-flat major,"3 movements:
Andante dolce
Andante sognando
Vivace","1939–44
First Perf
ormance
.
1944-12-30 in Moscow: Emil Gilels (piano)","1946 -
Moscow: Muzgiz, Plate M. 18180 Г., 49 pages",,"Mira Mendelson
(1915–1968)",,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.8,_Op.84_(Prokofiev,_Sergey)"
Piano Sonata No.9,,,,"Prokofiev, Sergey",Op.103,ISP 37,C major,"4 movements:
Allegretto
Allegro strepitoso
Andante tranquillo
Allegro con brio, ma non troppo presto","1947
First Perf
ormance
.
1951-04-21 in Moscow, Union of Composers
Sviatoslav Richter (piano)","1955 - Moscow:
Muzgiz
. Plate M. 23818 Г.",,Sviatoslav Richter (1915-1997),,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.9,_Op.103_(Prokofiev,_Sergey)"
Piano Sonata No.10,,,,"Prokofiev, Sergey",Op.137,ISP 84,E minor,1 movement (unfinished),1952,"1955 ca. -
Muzgiz? (facsimile)",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Sonata_No.10,_Op.137_(Prokofiev,_Sergey)"
4 Pieces for Piano,,,,"Prokofiev, Sergey",Op.3,ISP 38,,"4 pieces:
Story (Скажка)
Jest (Шутка)
March (Марш)
Phantom (Призрак)","1907-08, revised 1911
First Perf
ormance
.
1910-04-10 in St. Petersburg
Sergey Prokofiev (piano)","1911 -
Moscow: P. Jurgenson",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/4_Pieces_for_Piano,_Op.3_(Prokofiev,_Sergey)"
4 Pieces for Piano,,,,"Prokofiev, Sergey",Op.4,ISP 39,,"4 pieces:
Воспоминания
. Tranquillo
Reminiscences
Порыв
. Molto allegro
Elan / Impetus
Отчаяние
. Andante con agitazione e dolore
Despair
Наваждение
. Prestissimo fantastico
Suggestion diabolique / Diabolic Suggestions","1908, revised 1910–12
First Perf
ormance
.
1908-12-31 in St. Petersburg
Sergey Prokofiev (piano)","1913 – Moscow:
P. Jurgenson
.",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/4_Pieces_for_Piano,_Op.4_(Prokofiev,_Sergey)"
10 Pieces for Piano,,,,"Prokofiev, Sergey",Op.12,ISP 40,,"10 pieces:
March (Марш)
Gavotte (Гавот)
Rigaudon (Ригодон)
Mazurka (Мазурка)
Capriccio (Каприччио)
Legenda (Легенда)
Prelude (Прелюд)
Allemande (Аллеманда)
Humorous Scherzo (Юмористическое скерцо)
Scherzo (Скерцо)","1906-13
First Perf
ormance
.
1914-02-05 in Moscow
Sergey Prokofiev (piano)","1914 - Moscow:
P. Jurgenson
, Plates 37322-331",,"Various
Vasyusha Morolyov (Vasily Mitrofanovich Morolyov)
Boris Zakharov
(1887–1943)
Fyaka (
Nina Meshcherskaya
, 1895–1981)
Kolechka Myaskovsky (
Nikolay Myaskovsky
, 1881–1950)
Talya Meshcherskaya (Nataliya Alekseyevna Entel née Meshcherskaya)
-
-
Max Schmidthof (
Maximilian Schmidthof
, 1892–1913)
Nikolay Tcherepnin
(1873–1945)
Vladimir Deshevov
(1889–1955)",,Early 20th century,Early 20th century,"https://imslp.org/wiki/10_Pieces_for_Piano,_Op.12_(Prokofiev,_Sergey)"
4 Pieces for Piano,,,,"Prokofiev, Sergey",Op.32,ISP 41,,"4 pieces:
Danza (Танец)
Minuet (Менуэт)
Gavotte (Гавот)
Waltz (Вальс)","1918
First Perf
ormance
.
1919-03-30 in New York
Sergey Prokofiev (piano)","1922 - Moscow:
A. Gutheil",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/4_Pieces_for_Piano,_Op.32_(Prokofiev,_Sergey)"
6 Pieces for Piano,,,,"Prokofiev, Sergey",Op.52,ISP 42,,"6 pieces
Intermezzo (Интермеццо)
Rondo (Рондо)
Etude (Этюд)
Scherzino (Скерцино)
Andante
Scherzo (Скерцо)","1930–31
First Perf
ormance
.
1932-05-27 in Moscow: Sergey Prokofiev (piano)","1931 - Paris:
Editions Russes de Musique",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/6_Pieces_for_Piano,_Op.52_(Prokofiev,_Sergey)"
3 Pieces for Piano,,,,"Prokofiev, Sergey",Op.59,ISP 43,,"3 pieces:
Promenade (Прогулка)
Landscape (Пеяж)
Pastoral Sonatina (Пасторальная сонатина)","1933–34
First Perf
ormance
.
1935 in Moscow: Sergey Prokofiev (piano)","1935 - Paris:
Editions Russes de Musique
, Plate R.M.V. 602-604.",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/3_Pieces_for_Piano,_Op.59_(Prokofiev,_Sergey)"
3 Pieces for Piano,,,,"Prokofiev, Sergey",Op.96,ISP 44,,"3 pieces:
Waltz (Вальс)
Contredanse (Контрданс)
Mephisto-Waltz (Мефисто-вальс)",1941-42,"1943 -
Moscow: Muzgiz, Plate М. 17776 Г., 26 pages",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/3_Pieces_for_Piano,_Op.96_(Prokofiev,_Sergey)"
3 Pieces from Cinderella,,,,"Prokofiev, Sergey",Op.95,ISP 45,,"3 pieces:
Intermezzo (Интермеццо)
Gavotte (Гавот)
Valse lente (Медленный вальс)",1942,"1943 - Moscow:
Muzgiz",,,11 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/3_Pieces_from_Cinderella,_Op.95_(Prokofiev,_Sergey)"
10 Pieces from Cinderella,,,,"Prokofiev, Sergey",Op.97,ISP 46,,"10 pieces:
Spring Fairy (Фея Весны)
Summer Fairy (Фея Лета)
Autumn Fairy (Фея Осени)
Winter Fairy (Фея Зимы)
Grasshoppers and Dragonfies (Кузнечики и стрекозы)
Orientalia (Ориенталия)
Passpied (Паспье)
Capriccio (Каприччио)
Bourréee (Бурре)
Adagio: The Prince and Cinderella (Адажио: Принц и Золушка)","1943
First Perf
ormance
.
1944-04-19 in Moscow (radio broadcast, No.10 for cello and piano)
Aleksandr Stogorsky (cello), Prokofiev? (piano)","1944 - Moscow:
Muzgiz
, Plate M. 18074 Г., 33 pages.",,,21 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/10_Pieces_from_Cinderella,_Op.97_(Prokofiev,_Sergey)"
6 Pieces from Cinderella,,,,"Prokofiev, Sergey",Op.102,ISP 47,,"6 pieces:
Waltz: Cinderella and the Prince (Вальс: Золушка и принц)
Cinderella's Variation (Вариация Золушка)
Quarrel (Ссора)
Waltz: Cinderella Goes to the Ball (Вальс: отъезд Золушки на бал)
Pas de Chale (Па-де-шаль)
Amoroso",1944,"1944 -
Moscow: Muzfond, Plate 701-706, 72 pages",,,21 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/6_Pieces_from_Cinderella,_Op.102_(Prokofiev,_Sergey)"
Ten Pieces for piano from the ballet 'Romeo and Juliet',,,,"Prokofiev, Sergey",Op.75,ISP 48,,"10 pieces
Folk Dance (Народный танец)
Scene (Сцена)
Minuet (Менуэт)
Young Juliet (Джульетта-девочка)
Masks (Маски)
Montagues and Capulets (Монтекки и Капулетти)
Friar Laurence (Патер Лоренцо)
Mercutio (Меркуцио)
Dance of the Girls With Lilies (Танец антильских девушек)
Romeo and Juliet Before Parting (Ромео и Джульетта перел разлукой)","1937
First Perf
ormance
.
1937 in Moscow: Sergey Prokofiev (piano)","1938 - Moscow:
Iskusstvo",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/10_Pieces_from_Romeo_and_Juliet,_Op.75_(Prokofiev,_Sergey)"
5 Poems by Balmont,,,,"Prokofiev, Sergey",Op.36,ISP 94,,"5 songs:
Incantation of Fire and Water [Заклинанье воды и огня]
Birdsong [Голос птиц]
The Butterfly [Бабочка]
Remember Me [Помни меня]
The Pylons [Столбы]",1921,"1923
Librettist
Konstantin Balmont
(1867-1942)
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/5_Poems_by_Balmont,_Op.36_(Prokofiev,_Sergey)"
Two Poems by A. Apukhtin and K. Balmont,,,,"Prokofiev, Sergey",Op.9,ISP 49,,"2 songs:
It is of Other Planets
(Есть другие планеты)
The Drifting Boat
(Отчалила лодка)","1910–11
First Perf
ormance
.
1914-03-30 in St. Petersburg (No.1 only)
Anna Zherebtsova-Andreyeva (soprano), Mikhail Dulov (piano)","1917 - Moscow:
A. Gutheil
Librettist
1.
Konstantin Balmont
(1867-1942)
2.
Aleksey Apukhtin
(1840-1893)
Language
Russian",,"No.1 -
Nikolay Myaskovsky
(1881–1950)",9 minutes,Early 20th century,Romantic,"https://imslp.org/wiki/2_Poems,_Op.9_(Prokofiev,_Sergey)"
5 Poems,,,,"Prokofiev, Sergey",Op.23,ISP 50,,"5 songs:
Under the Roof (Под крышей)
The Little Grey Dress (Серое платице)
Follow me (Доверься мне)
In My Garden (В моем саду)
The Prophet (Кудесник)","1915
First Perf
ormance
.
1916-12-10 in Petrograd (Nos.2 to 5 only)
Ivan Alchevsky (voice), Sergey Prokofiev (piano)","1917 - Moscow:
A. Gutheil
Librettist
Various:
Valentin Goryansky
(1888-1949)
Zinaida Gippius
(1869-1945)
Boris Bashkirov
(1891-1935)
Konstantin Balmont
(1867-1942)
Nikolai Agnivtsev
(1888-1932)
Language
Russian",,,29 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/5_Poems,_Op.23_(Prokofiev,_Sergey)"
5 Poems,,,,"Prokofiev, Sergey",Op.27,ISP 51,,"5 songs:
The Sun has Filled my Room (Солнце комнату наполнило)
True Tenderness (Настоящую нежность)
Memory of the Sun (Память о солнце)
Greetings (Здравствуй)
The Grey-Eyed King (Сероглазый король)
First Perf
ormance
.
1917-12-05 in Moscow
Zinaida Artemyeva
(Зинаида Николаевна Артемьева-Леонтьевская, 1886 (1888?)-1963 (soprano),
Sergey Prokofiev
(piano)",,"1917 - Moscow:
Editions Russes de Musique
Librettist
Anna Akhmatova
(1889-1966)
Language
Russian",,,12 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/5_Poems,_Op.27_(Prokofiev,_Sergey)"
4 Portraits,,,,"Prokofiev, Sergey",Op.49,ISP 106,,4 portraits,,1932,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/4_Portraits,_Op.49_(Prokofiev,_Sergey)"
"Prosper, Our Mighty Land!",,,,"Prokofiev, Sergey",Op.114,ISP 52,D-flat major,,"1947
First Perf
ormance
.
1947-11-12",1962,"This work is claimed to be under copyright in the USA due to
""restoration"" via the GATT/TRIPS amendment (Section 104).
NIE-V8002P085
Although purely instrumental selections and arrangements are permitted for this piece items containing any
text
by the
author(s) listed below
cannot
be added to the main server (located in Canada) until
70 years after the death of the author(s)
. Items with text first published before 1929 or otherwise confirmed as
public domain
in the United States can be uploaded to the US server only.
Librettist
Alexey Mashistov (1904-1987)
Language
Russian",,8 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Prosper,_Our_Mighty_Land!,_Op.114_(Prokofiev,_Sergey)"
2 Pushkin Waltzes,,,,"Prokofiev, Sergey",Op.120,ISP 96,,"2 waltzes:
Waltz No.1 (F major)
Waltz No.2 (C♯ minor)",1949,1959,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/2_Pushkin_Waltzes,_Op.120_(Prokofiev,_Sergey)"
Quintet,"Quintette en sol mineur de Prokofiev
;
Quintet in G minor
;
Квинтет
;
Quintett g-Moll für Oboe, Klarinette, Violine, Viola und Kontrabass
;
五重奏曲 (プロコフィエフ)","Квинтет (Прокофьев)
;
Квинтет g-moll для гобоя, кларнета, скрипки, альта и контрабаса
;
Quintett g-Moll op. 39
;
Quintet in G minor, Op. 39","WorldCat
;
Wikipedia
;
LCCN
:
no90022757","Prokofiev, Sergey",Op.39,ISP 53,G minor,"6 movements:
Tema con variazioni
Andante energico
Allegro sostenuto, ma con brio
Adagio pesante
Allegro precipitato, ma non troppo presto
Andantino","1924
First Perf
ormance
.
1927-03-06 — Moscow: Nikolay Nazarov (oboe), Ivan Mayorov (clarinet), Dmitry Tsyganov (violin), Vadim Borisovsky (viola), Iosif Gertovich (double bass)","1927 — Leipzig:
A. Gutheil
. Plate A. 10392 G.",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Quintet,_Op.39_(Prokofiev,_Sergey)"
3 Romances after Pushkin,,,,"Prokofiev, Sergey",Op.73,ISP 87,,"3 romances:
Pine Trees [Сосны] (Les pins)
With a Blush [Румяной зарёю] (L'aube rosée recouvre l'orient)
In Your Front-room [В твою светлицу] (Dans ta chambre)",1936,"1937
Librettist
Aleksandr Pushkin
(1799-1837)
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/3_Romances_after_Pushkin,_Op.73_(Prokofiev,_Sergey)"
Romeo and Juliet (1st suite),,,,"Prokofiev, Sergey",Op.64bis,ISP 54,,"7 movements
Folk Dance (Народный танец)
Scene (Сцена)
Madrigal (Мадригал)
Minuet (Менуэт)
Masks (Маски)
Romeo and Juliet (Ромео и Джульетта)
Death of Tybalt (Гибель Тибальда)","1936
First Perf
ormance
.
1936-11-25 – Moscow, Bolshoy Theatre
George Sebastien (conductor)","1938 – Moscow:
Muzgiz","This work is claimed to be under copyright in the USA due to
""restoration"" via the GATT/TRIPS amendment (Section 104).
NIE-V8002P086",,28-30 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Romeo_and_Juliet_(1st_suite),_Op.64bis_(Prokofiev,_Sergey)"
Romeo and Juliet (2nd suite) ; Romeo and Juliet. Second Symphonic Suite from the Vallet,,,,"Prokofiev, Sergey",Op.64ter,ISP 55,,"7 movements:
I. The Montagues and Capulets (Монтекки и Капулетти)
II. The Young Juliet (Джульетта-девочка)
III. Friar Laurence (Патер Лоренцо)
IV. Dance (Танец)
V. Romeo and Juliet Before Parting (Ромео и Джульетта перед разлукой)
VI. Dance of the Girls With Lillies (Танец антильских девушек)
VII. Romeo at Juliet's Grave (Ромео у могилы Джульетты)","1936
First Perf
ormance
.
1937-04-15 in Leningrad: Sergey Prokofiev (conductor)","1938 – Moscow:
Muzgiz",,,32 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Romeo_and_Juliet_(2nd_suite),_Op.64ter_(Prokofiev,_Sergey)"
Romeo and Juliet (3rd suite),,,,"Prokofiev, Sergey",Op.101,ISP 56,,"6 movements:
I. Romeo at the Fountain (Ромео у фонтана)
II. Morning Dance (Утренний танец)
III. Juliet (Джульетта)
IV. The Nurse (Кормилица)
V. Morning Serenade (Утренняя серенада)
VI. The Death of Juliet (Смерть Джульетты)",1946,1949,,,20 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Romeo_and_Juliet_(3rd_suite),_Op.101_(Prokofiev,_Sergey)"
Romeo and Juliet,,,,"Prokofiev, Sergey",Op.64,ISP 57,,"prologue, 4 acts","1935–36
First Perf
ormance
.
1938-12-30 in Brno, National Theatre: Vánia Psota (choreographer)","1944 - Moscow:
Muzfond",,,130 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Romeo_and_Juliet_(ballet),_Op.64_(Prokofiev,_Sergey)"
12 Russian Folksongs,,,,"Prokofiev, Sergey",Op.104,ISP 88,,"12 songs:
Guelder Rose [В лете калина]
Green Glade [Зеленая рощица]
Guelder Rose on the Hill [На горе-то калина]
Katerina [Катерина]
White Snow [Снежки белые]
Little Sasha [Сашенька]
My Beloved is Gone [Я нигде дружка не вижу]
Beyond the Woods [За лесочком]
Dream [Сон]
Brown Eyes [Кари глазки]
Dunyushka [Дунюшка]
The Monk [Чернец]",1944,"1945
Librettist
Folk Songs
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/12_Russian_Folksongs,_Op.104_(Prokofiev,_Sergey)"
